name,jurisdiction,Display Community,address,lat,lng,Additional description,id,Status notes,
Pine Springs Rd ,FCO,Fayette County,"2109 Pine Springs Rd, Flatonia, TX 78941",29.709864,-97.05262,at Rocky Creek,1261,,
Rauder Rd ,FCO,Fayette County,"2690 Rauder Rd, Muldoon, TX 78949",29.870218,-97.153214,at Buckners Creek,1262,,
Salem Freyburg Rd ,FCO,Fayette County,"7000 Salem-Freyburg Rd, Schulenburg, TX 78956",29.75013,-97.033913,at Cold Creek,1263,,
Smith Marek Rd ,FCO,Fayette County,"3386 Smith-Marek Rd, Schulenburg, TX 78956",29.637358,-97.001511,"at Mulberry Creek, 1/2 mi N of County Line Rd",1264,,
Sparta Field Rd ,FCO,Fayette County,"2881 Sparta Field Rd, Waelder, TX 78959",29.723412,-97.23291,at Pin Oak Creek,1265,,
Zimmermann Ln ,FCO,Fayette County,"1046 Zimmermann Ln, La Grange, TX 78945",29.841038,-96.94207,1/4 mi SE of FM 609,1267,,
Round Top Rd ,FCO,Fayette County,"Round Top Rd, Carmine, TX 78932",30.113024,-96.744064,3/4 mi NW of Schoenst Rd,1268,,
Round Top Rd ,FCO,Fayette County,"Round Top Rd, Carmine, TX 78932",30.100958,-96.734428,"at Cedar Creek, 1/4 mi SE of Schoenst Rd",1269,,
Albers Rd ,FCO,Fayette County,"900 Albers Rd, Round Top, TX 78954",30.059515,-96.785408,NE of Waldeck Cemetery Rd,1271,,
Hills Rd ,FCO,Fayette County,"2330 Hills Rd, Carmine, TX 78932",30.125071,-96.715797,"at Buck Creek & Cedar Creek, near Carmine Cemetery Rd",1272,,
Wunderlich Rd ,FCO,Fayette County,"3080 Wunderlich Rd, Fayetteville, TX 78940",29.991854,-96.614159,1 mi NW of FM 954,1273,,
Wunderlich Rd ,FCO,Fayette County,"2400 Wunderlich Rd, Fayetteville, TX 78940",29.983192,-96.612572,1/2 mi NW of FM 954,1274,,
Willow Springs Bridge,FCO,Fayette County,"444 Willow Springs Rd, Fayetteville, TX 78940",29.954845,-96.63353,at Cummins Creek,1275,,
Minarcik Rd ,FCO,Fayette County,"Minarcik Rd, New Ulm, TX 78950",29.958265,-96.589134,at Willow Branch,1276,,
Kovar Rd ,FCO,Fayette County,"4026 Kovar Rd, Fayetteville, TX 78940",29.931026,-96.624779,at Cummins Creek,1277,,
Rek Hill Rd ,FCO,Fayette County,"1421 Rek Hill Rd, Fayetteville, TX 78940",29.915571,-96.629501,"at Allen Creek, near Josie Ln",1278,,
Brushy Rd ,FCO,Fayette County,"2675 Ross Prairie Rd, Fayetteville, TX 78940",29.877438,-96.662354,near FM 2503,1279,,
Jurekca Rd ,FCO,Fayette County,"750 Jurecka Rd, Fayetteville, TX 78940",29.893847,-96.703804,near Vasut Rd,1280,,
Wolff Rd ,FCO,Fayette County,"2024 Wolff Rd, Round Top, TX 78954",30.061186,-96.655464,3/4 mi SW of FM 1457,1281,,
N Nassau Rd ,FCO,Fayette County,"901 N Nassau Rd, Round Top, TX 78954",30.037617,-96.645569,3/4/ mi NE of Noak Rd,1282,,
Gebhard Rd ,FCO,Fayette County,"6300 Gebhard Rd, Fayetteville, TX 78940",30.001312,-96.666145,"at Cummins Creek, 1/2 mi NW of FM 954",1283,,
Gebhard Rd ,FCO,Fayette County,"8519 Gebhard Rd, Round Top, TX 78954",30.008059,-96.640785,1/2 mi NW of FM 389,1284,,
Noak Rd ,FCO,Fayette County,"3730 Noak Rd, Round Top, TX 78954",30.031691,-96.657608,near Nassau Rd,1285,,
Kneip Rd ,FCO,Fayette County,"923 Kneip Rd, Round Top, TX 78954",30.056654,-96.684494,"at Rocky Creek, NW of Hackemack Rd",1286,,
Bauer Rd ,FCO,Fayette County,"8615 Bauer Rd, Fayetteville, TX 78940",29.987169,-96.769791,NW of SH 237,1287,,
Bauer Rd ,FCO,Fayette County,"7223 Bauer Rd, Fayetteville, TX 78940",29.980183,-96.750259,1 mi E of SH 237,1288,,
